era,trkiso,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_cms,status_pass_cms,status_fail_cms,eff_exp,err_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc
postBpix,normal,seed,EB_R9_0p50to0p55,0.0,35.0,0.7468,0.0039,0,0,0.7472,0.0031,0,4,0.0004,0.00392
postBpix,normal,seed,EB_R9_0p50to0p55,35.0,37.0,0.904,0.0021,0,0,0.904,0.0033,0,0,0.0,0.0021
postBpix,normal,seed,EB_R9_0p50to0p55,37.0,40.0,0.9104,0.0029,0,0,0.9105,0.003,0,0,0.0001,0.002902
postBpix,normal,seed,EB_R9_0p50to0p55,40.0,45.0,0.9278,0.0012,0,4,0.9277,0.0022,0,4,0.0001,0.001204
postBpix,normal,seed,EB_R9_0p50to0p55,45.0,50.0,0.9389,0.0033,4,0,0.9364,0.003,0,0,0.0025,0.00414
postBpix,normal,seed,EB_R9_0p50to0p55,50.0,60.0,0.9365,0.0068,0,0,0.9422,0.0042,4,4,0.0057,0.008873
postBpix,normal,seed,EB_R9_0p50to0p55,60.0,70.0,0.9332,0.0124,0,4,0.9487,0.018,0,0,0.0155,0.01985
postBpix,normal,seed,EB_R9_0p50to0p55,70.0,90.0,0.9554,0.0224,4,0,0.9433,0.0288,0,0,0.0121,0.025459
postBpix,normal,seed,EB_R9_0p50to0p55,90.0,999999.0,0.9638,0.0256,0,0,0.9704,0.02,4,0,0.0066,0.026437
postBpix,normal,seed,EB_R9_0p55to0p85,0.0,35.0,0.8072,0.001,0,0,0.807,0.0007,0,4,0.0002,0.00102
postBpix,normal,seed,EB_R9_0p55to0p85,35.0,37.0,0.933,0.006,0,0,0.9291,0.0009,0,4,0.0039,0.007156
postBpix,normal,seed,EB_R9_0p55to0p85,37.0,40.0,0.9416,0.0005,0,0,0.9416,0.0006,0,4,0.0,0.0005
postBpix,normal,seed,EB_R9_0p55to0p85,40.0,45.0,0.9496,0.0004,0,0,0.9495,0.0004,0,0,0.0001,0.000412
postBpix,normal,seed,EB_R9_0p55to0p85,45.0,50.0,0.9531,0.0009,0,0,0.9527,0.0005,4,4,0.0004,0.000985
postBpix,normal,seed,EB_R9_0p55to0p85,50.0,60.0,0.951,0.001,0,0,0.9533,0.001,0,0,0.0023,0.002508
postBpix,normal,seed,EB_R9_0p55to0p85,60.0,70.0,0.958,0.0169,0,0,0.9567,0.0029,4,4,0.0013,0.01695
postBpix,normal,seed,EB_R9_0p55to0p85,70.0,90.0,0.9696,0.0092,4,0,0.9681,0.0042,0,0,0.0015,0.009321
postBpix,normal,seed,EB_R9_0p55to0p85,90.0,999999.0,0.9755,0.003,0,0,0.9803,0.0031,0,0,0.0048,0.00566
postBpix,normal,seed,EB_R9gt0p85,0.0,35.0,0.8346,0.0023,4,4,0.8237,0.0004,4,0,0.0109,0.01114
postBpix,normal,seed,EB_R9gt0p85,35.0,37.0,0.9142,0.0003,0,0,0.9141,0.0007,4,4,0.0001,0.000316
postBpix,normal,seed,EB_R9gt0p85,37.0,40.0,0.9262,0.0004,0,0,0.9262,0.0003,0,0,0.0,0.0004
postBpix,normal,seed,EB_R9gt0p85,40.0,45.0,0.9383,0.0001,0,0,0.9383,0.0003,0,0,0.0,0.0001
postBpix,normal,seed,EB_R9gt0p85,45.0,50.0,0.9452,0.0,0,0,0.9416,0.0004,4,0,0.0036,0.0036
postBpix,normal,seed,EB_R9gt0p85,50.0,60.0,0.9509,0.0018,0,0,0.9512,0.0001,0,0,0.0003,0.001825
postBpix,normal,seed,EB_R9gt0p85,60.0,70.0,0.96,0.0016,0,4,0.9606,0.0016,4,0,0.0006,0.001709
postBpix,normal,seed,EB_R9gt0p85,70.0,90.0,0.9729,0.0011,4,0,0.9712,0.0014,0,0,0.0017,0.002025
postBpix,normal,seed,EB_R9gt0p85,90.0,999999.0,0.9814,0.0026,0,0,0.9806,0.0012,0,0,0.0008,0.00272
postBpix,normal,seed,EE_R9_0p90to0p93,0.0,35.0,0.7875,0.004,4,0,0.7871,0.004,0,0,0.0004,0.00402
postBpix,normal,seed,EE_R9_0p90to0p93,35.0,37.0,0.9156,0.0035,0,0,0.9153,0.0035,0,0,0.0003,0.003513
postBpix,normal,seed,EE_R9_0p90to0p93,37.0,40.0,0.9401,0.015,0,0,0.9392,0.0015,0,0,0.0009,0.015027
postBpix,normal,seed,EE_R9_0p90to0p93,40.0,45.0,0.952,0.0008,4,0,0.9522,0.0004,4,0,0.0002,0.000825
postBpix,normal,seed,EE_R9_0p90to0p93,45.0,50.0,0.9612,0.002,0,0,0.9611,0.0017,0,0,0.0001,0.002002
postBpix,normal,seed,EE_R9_0p90to0p93,50.0,60.0,0.963,0.0031,0,0,0.9623,0.0033,0,0,0.0007,0.003178
postBpix,normal,seed,EE_R9_0p90to0p93,60.0,70.0,0.9629,0.0054,4,0,0.974,0.0063,0,0,0.0111,0.012344
postBpix,normal,seed,EE_R9_0p90to0p93,70.0,90.0,0.9724,0.0067,0,0,0.9726,0.0058,0,0,0.0002,0.006703
postBpix,normal,seed,EE_R9_0p90to0p93,90.0,999999.0,0.9915,0.0028,0,0,0.9917,0.003,0,0,0.0002,0.002807
postBpix,normal,seed,EE_R9gt0p93,0.0,35.0,0.8574,0.0036,0,0,0.8354,0.0005,0,4,0.022,0.022293
postBpix,normal,seed,EE_R9gt0p93,35.0,37.0,0.9398,0.001,0,0,0.9394,0.0009,0,0,0.0004,0.001077
postBpix,normal,seed,EE_R9gt0p93,37.0,40.0,0.952,0.0007,0,0,0.951,0.0016,4,0,0.001,0.001221
postBpix,normal,seed,EE_R9gt0p93,40.0,45.0,0.9591,0.0007,4,4,0.9586,0.0005,4,0,0.0005,0.00086
postBpix,normal,seed,EE_R9gt0p93,45.0,50.0,0.9648,0.0005,0,4,0.965,0.0006,4,0,0.0002,0.000539
postBpix,normal,seed,EE_R9gt0p93,50.0,60.0,0.9632,0.0027,0,4,0.9661,0.0008,0,4,0.0029,0.003962
postBpix,normal,seed,EE_R9gt0p93,60.0,70.0,0.9793,0.0018,0,0,0.9772,0.0025,0,0,0.0021,0.002766
postBpix,normal,seed,EE_R9gt0p93,70.0,90.0,0.9812,0.002,4,0,0.9822,0.0041,0,0,0.001,0.002236
postBpix,normal,seed,EE_R9gt0p93,90.0,999999.0,0.9919,0.0027,0,0,0.9887,0.0016,0,0,0.0032,0.004187
postBpix,normal,unseed,EB_R9_0p50to0p55,0.0,21.0,0.6744,0.0117,4,4,0.738,0.0172,0,0,0.0636,0.064667
postBpix,normal,unseed,EB_R9_0p50to0p55,21.0,25.0,0.8886,0.0195,4,4,0.8727,0.0126,4,4,0.0159,0.025161
postBpix,normal,unseed,EB_R9_0p50to0p55,25.0,28.0,0.9301,0.0169,4,0,0.9022,0.0037,4,4,0.0279,0.032619
postBpix,normal,unseed,EB_R9_0p50to0p55,28.0,31.0,0.9524,0.0135,4,0,0.9112,0.0019,0,0,0.0412,0.043355
postBpix,normal,unseed,EB_R9_0p50to0p55,31.0,35.0,0.9263,0.0027,0,0,0.9267,0.0028,0,0,0.0004,0.002729
postBpix,normal,unseed,EB_R9_0p50to0p55,35.0,40.0,0.944,0.0017,4,0,0.944,0.002,0,0,0.0,0.0017
postBpix,normal,unseed,EB_R9_0p50to0p55,40.0,45.0,0.9573,0.0017,0,0,0.9573,0.0012,0,0,0.0,0.0017
postBpix,normal,unseed,EB_R9_0p50to0p55,45.0,50.0,0.963,0.0023,4,0,0.962,0.0029,0,0,0.001,0.002508
postBpix,normal,unseed,EB_R9_0p50to0p55,50.0,60.0,0.9606,0.0119,0,0,0.9606,0.0017,0,0,0.0,0.0119
postBpix,normal,unseed,EB_R9_0p50to0p55,60.0,70.0,0.9539,0.014,0,0,0.9584,0.0104,0,0,0.0045,0.014705
postBpix,normal,unseed,EB_R9_0p50to0p55,70.0,90.0,0.9959,0.0353,0,0,0.9955,0.0111,0,0,0.0004,0.035302
postBpix,normal,unseed,EB_R9_0p50to0p55,90.0,999999.0,0.9165,0.0448,0,0,0.9472,0.0305,0,0,0.0307,0.05431
postBpix,normal,unseed,EB_R9_0p55to0p85,0.0,21.0,0.7477,0.017,4,4,0.7709,0.0034,4,0,0.0232,0.028762
postBpix,normal,unseed,EB_R9_0p55to0p85,21.0,25.0,0.9192,0.0081,4,4,0.9104,0.0019,4,4,0.0088,0.01196
postBpix,normal,unseed,EB_R9_0p55to0p85,25.0,28.0,0.9511,0.0057,4,0,0.9356,0.0014,0,0,0.0155,0.016515
postBpix,normal,unseed,EB_R9_0p55to0p85,28.0,31.0,0.9616,0.0095,0,0,0.9465,0.001,4,4,0.0151,0.01784
postBpix,normal,unseed,EB_R9_0p55to0p85,31.0,35.0,0.9659,0.0052,0,0,0.9569,0.0006,0,0,0.009,0.010394
postBpix,normal,unseed,EB_R9_0p55to0p85,35.0,40.0,0.9668,0.0004,0,4,0.9668,0.0004,0,4,0.0,0.0004
postBpix,normal,unseed,EB_R9_0p55to0p85,40.0,45.0,0.9739,0.0003,0,0,0.9738,0.0003,0,0,0.0001,0.000316
postBpix,normal,unseed,EB_R9_0p55to0p85,45.0,50.0,0.9751,0.0005,4,4,0.975,0.0004,4,0,0.0001,0.00051
postBpix,normal,unseed,EB_R9_0p55to0p85,50.0,60.0,0.9704,0.0003,4,0,0.9733,0.0009,0,0,0.0029,0.002915
postBpix,normal,unseed,EB_R9_0p55to0p85,60.0,70.0,0.9764,0.0044,0,4,0.9719,0.0041,0,0,0.0045,0.006294
postBpix,normal,unseed,EB_R9_0p55to0p85,70.0,90.0,0.9745,0.0021,4,0,0.9779,0.0041,0,0,0.0034,0.003996
postBpix,normal,unseed,EB_R9_0p55to0p85,90.0,999999.0,0.9795,0.0031,0,0,0.9838,0.0029,0,4,0.0043,0.005301
postBpix,normal,unseed,EB_R9gt0p85,0.0,21.0,0.8491,0.0019,0,4,0.8683,0.0116,4,4,0.0192,0.019294
postBpix,normal,unseed,EB_R9gt0p85,21.0,25.0,0.9266,0.0035,4,4,0.9316,0.0056,0,0,0.005,0.006103
postBpix,normal,unseed,EB_R9gt0p85,25.0,28.0,0.9563,0.006,4,0,0.9421,0.0012,4,0,0.0142,0.015416
postBpix,normal,unseed,EB_R9gt0p85,28.0,31.0,0.9632,0.0021,0,0,0.9515,0.0007,4,0,0.0117,0.011887
postBpix,normal,unseed,EB_R9gt0p85,31.0,35.0,0.9673,0.003,4,0,0.9604,0.0005,0,0,0.0069,0.007524
postBpix,normal,unseed,EB_R9gt0p85,35.0,40.0,0.9682,0.0003,4,0,0.9692,0.0002,0,0,0.001,0.001044
postBpix,normal,unseed,EB_R9gt0p85,40.0,45.0,0.9764,0.0001,0,0,0.9764,0.0002,0,0,0.0,0.0001
postBpix,normal,unseed,EB_R9gt0p85,45.0,50.0,0.9782,0.0004,0,0,0.9778,0.0002,0,0,0.0004,0.000566
postBpix,normal,unseed,EB_R9gt0p85,50.0,60.0,0.9793,0.001,4,0,0.9769,0.0003,0,4,0.0024,0.0026
postBpix,normal,unseed,EB_R9gt0p85,60.0,70.0,0.9768,0.0011,0,4,0.9776,0.0012,4,0,0.0008,0.00136
postBpix,normal,unseed,EB_R9gt0p85,70.0,90.0,0.9848,0.0013,4,0,0.982,0.0013,0,0,0.0028,0.003087
postBpix,normal,unseed,EB_R9gt0p85,90.0,999999.0,0.9848,0.0018,4,0,0.9839,0.0008,0,0,0.0009,0.002012
postBpix,normal,unseed,EE_R9_0p90to0p93,0.0,21.0,0.6823,0.0372,0,4,0.7025,0.0496,0,0,0.0202,0.042331
postBpix,normal,unseed,EE_R9_0p90to0p93,21.0,25.0,0.88,0.0148,0,0,0.8813,0.0135,4,0,0.0013,0.014857
postBpix,normal,unseed,EE_R9_0p90to0p93,25.0,28.0,0.92,0.0183,4,0,0.8957,0.005,0,0,0.0243,0.03042
postBpix,normal,unseed,EE_R9_0p90to0p93,28.0,31.0,0.9341,0.0159,4,4,0.9149,0.0039,4,0,0.0192,0.024929
postBpix,normal,unseed,EE_R9_0p90to0p93,31.0,35.0,0.9386,0.0026,4,4,0.9378,0.0025,4,0,0.0008,0.00272
postBpix,normal,unseed,EE_R9_0p90to0p93,35.0,40.0,0.9577,0.0044,0,0,0.9567,0.0016,0,0,0.001,0.004512
postBpix,normal,unseed,EE_R9_0p90to0p93,40.0,45.0,0.9678,0.0014,0,0,0.9673,0.0002,0,0,0.0005,0.001487
postBpix,normal,unseed,EE_R9_0p90to0p93,45.0,50.0,0.9731,0.0018,0,0,0.9727,0.001,0,0,0.0004,0.001844
postBpix,normal,unseed,EE_R9_0p90to0p93,50.0,60.0,0.9728,0.0029,0,4,0.9727,0.0028,4,0,0.0001,0.002902
postBpix,normal,unseed,EE_R9_0p90to0p93,60.0,70.0,0.9774,0.005,4,0,0.9786,0.0043,4,0,0.0012,0.005142
postBpix,normal,unseed,EE_R9_0p90to0p93,70.0,90.0,0.9754,0.0056,0,0,0.9763,0.0064,0,0,0.0009,0.005672
postBpix,normal,unseed,EE_R9_0p90to0p93,90.0,999999.0,0.9871,0.0037,0,0,0.9876,0.0038,0,0,0.0005,0.003734
postBpix,normal,unseed,EE_R9gt0p93,0.0,21.0,0.7278,0.0168,0,4,0.746,0.035,4,0,0.0182,0.024769
postBpix,normal,unseed,EE_R9gt0p93,21.0,25.0,0.9027,0.002,4,4,0.8903,0.0206,4,4,0.0124,0.01256
postBpix,normal,unseed,EE_R9gt0p93,25.0,28.0,0.9341,0.0059,4,0,0.9246,0.0065,0,0,0.0095,0.011183
postBpix,normal,unseed,EE_R9gt0p93,28.0,31.0,0.9661,0.001,4,0,0.9432,0.001,0,4,0.0229,0.022922
postBpix,normal,unseed,EE_R9gt0p93,31.0,35.0,0.9701,0.0021,0,0,0.9614,0.0003,0,0,0.0087,0.00895
postBpix,normal,unseed,EE_R9gt0p93,35.0,40.0,0.9732,0.0008,4,0,0.973,0.0004,4,4,0.0002,0.000825
postBpix,normal,unseed,EE_R9gt0p93,40.0,45.0,0.9816,0.0008,0,0,0.9815,0.0004,0,0,0.0001,0.000806
postBpix,normal,unseed,EE_R9gt0p93,45.0,50.0,0.9846,0.0004,0,4,0.9845,0.0005,4,0,0.0001,0.000412
postBpix,normal,unseed,EE_R9gt0p93,50.0,60.0,0.9852,0.003,0,4,0.9879,0.0009,4,0,0.0027,0.004036
postBpix,normal,unseed,EE_R9gt0p93,60.0,70.0,0.9912,0.0022,4,0,0.99,0.0019,0,0,0.0012,0.002506
postBpix,normal,unseed,EE_R9gt0p93,70.0,90.0,0.9905,0.0014,4,0,0.9908,0.0013,0,0,0.0003,0.001432
postBpix,normal,unseed,EE_R9gt0p93,90.0,999999.0,0.9944,0.0015,4,0,0.9938,0.0011,0,0,0.0006,0.001616
postBpix,notrkiso,seed,EB_R9_0p50to0p55,0.0,35.0,0.7469,0.0041,0,0,0.7462,0.0043,0,4,0.0007,0.004159
postBpix,notrkiso,seed,EB_R9_0p50to0p55,35.0,37.0,0.9038,0.0036,0,0,0.9038,0.0041,0,0,0.0,0.0036
postBpix,notrkiso,seed,EB_R9_0p50to0p55,37.0,40.0,0.9095,0.0031,0,0,0.9095,0.003,0,0,0.0,0.0031
postBpix,notrkiso,seed,EB_R9_0p50to0p55,40.0,45.0,0.9276,0.0021,0,0,0.9275,0.0022,0,4,0.0001,0.002102
postBpix,notrkiso,seed,EB_R9_0p50to0p55,45.0,50.0,0.9384,0.0029,0,0,0.9358,0.0037,4,4,0.0026,0.003895
postBpix,notrkiso,seed,EB_R9_0p50to0p55,50.0,60.0,0.9372,0.0073,0,4,0.9415,0.0057,0,0,0.0043,0.008472
postBpix,notrkiso,seed,EB_R9_0p50to0p55,60.0,70.0,0.9325,0.0094,0,0,0.9488,0.0157,0,0,0.0163,0.018816
postBpix,notrkiso,seed,EB_R9_0p50to0p55,70.0,90.0,0.9571,0.0212,4,0,0.9443,0.0237,0,0,0.0128,0.024764
postBpix,notrkiso,seed,EB_R9_0p50to0p55,90.0,999999.0,0.9638,0.0256,0,0,0.9704,0.02,4,0,0.0066,0.026437
postBpix,notrkiso,seed,EB_R9_0p55to0p85,0.0,35.0,0.8057,0.0005,0,0,0.8058,0.0011,4,0,0.0001,0.00051
postBpix,notrkiso,seed,EB_R9_0p55to0p85,35.0,37.0,0.9331,0.006,0,0,0.9282,0.0009,0,0,0.0049,0.007747
postBpix,notrkiso,seed,EB_R9_0p55to0p85,37.0,40.0,0.9411,0.0003,0,0,0.9411,0.0006,0,0,0.0,0.0003
postBpix,notrkiso,seed,EB_R9_0p55to0p85,40.0,45.0,0.9493,0.0004,0,4,0.9491,0.0004,0,0,0.0002,0.000447
postBpix,notrkiso,seed,EB_R9_0p55to0p85,45.0,50.0,0.9529,0.0009,0,0,0.9523,0.0005,0,0,0.0006,0.001082
postBpix,notrkiso,seed,EB_R9_0p55to0p85,50.0,60.0,0.9505,0.0011,0,0,0.9527,0.0011,0,0,0.0022,0.00246
postBpix,notrkiso,seed,EB_R9_0p55to0p85,60.0,70.0,0.9525,0.006,0,0,0.9557,0.0038,0,0,0.0032,0.0068
postBpix,notrkiso,seed,EB_R9_0p55to0p85,70.0,90.0,0.9676,0.0082,4,4,0.9684,0.0038,0,0,0.0008,0.008239
postBpix,notrkiso,seed,EB_R9_0p55to0p85,90.0,999999.0,0.975,0.0035,0,0,0.9796,0.0036,0,0,0.0046,0.00578
postBpix,notrkiso,seed,EB_R9gt0p85,0.0,35.0,0.8367,0.0015,0,4,0.8213,0.0007,4,4,0.0154,0.015473
postBpix,notrkiso,seed,EB_R9gt0p85,35.0,37.0,0.9126,0.0007,0,0,0.9125,0.0007,0,0,0.0001,0.000707
postBpix,notrkiso,seed,EB_R9gt0p85,37.0,40.0,0.9251,0.0,0,0,0.9251,0.0004,0,0,0.0,0.0
postBpix,notrkiso,seed,EB_R9gt0p85,40.0,45.0,0.9376,0.0001,0,4,0.9376,0.0003,0,0,0.0,0.0001
postBpix,notrkiso,seed,EB_R9gt0p85,45.0,50.0,0.9452,0.0012,0,0,0.9445,0.0001,4,0,0.0007,0.001389
postBpix,notrkiso,seed,EB_R9gt0p85,50.0,60.0,0.9494,0.0021,0,0,0.9499,0.0003,0,0,0.0005,0.002159
postBpix,notrkiso,seed,EB_R9gt0p85,60.0,70.0,0.9593,0.0063,4,0,0.9591,0.0019,0,0,0.0002,0.006303
postBpix,notrkiso,seed,EB_R9gt0p85,70.0,90.0,0.9712,0.0015,4,0,0.9716,0.0015,0,0,0.0004,0.001552
postBpix,notrkiso,seed,EB_R9gt0p85,90.0,999999.0,0.9803,0.0014,4,4,0.9799,0.0039,0,0,0.0004,0.001456
postBpix,notrkiso,seed,EE_R9_0p90to0p93,0.0,35.0,0.787,0.0044,4,4,0.7856,0.0041,4,0,0.0014,0.004617
postBpix,notrkiso,seed,EE_R9_0p90to0p93,35.0,37.0,0.9152,0.0036,0,0,0.9147,0.0036,0,0,0.0005,0.003635
postBpix,notrkiso,seed,EE_R9_0p90to0p93,37.0,40.0,0.9394,0.0007,0,4,0.9388,0.0014,0,0,0.0006,0.000922
postBpix,notrkiso,seed,EE_R9_0p90to0p93,40.0,45.0,0.9518,0.0008,4,0,0.9518,0.0015,4,0,0.0,0.0008
postBpix,notrkiso,seed,EE_R9_0p90to0p93,45.0,50.0,0.961,0.0014,0,4,0.9611,0.0017,0,4,0.0001,0.001404
postBpix,notrkiso,seed,EE_R9_0p90to0p93,50.0,60.0,0.9624,0.0033,0,0,0.9611,0.002,0,0,0.0013,0.003547
postBpix,notrkiso,seed,EE_R9_0p90to0p93,60.0,70.0,0.9623,0.0056,4,0,0.9698,0.0061,0,0,0.0075,0.00936
